supplier_id,supplier_name,supplier_region,country,supplier_type,quality_rating,reliability_score,payment_terms_days,average_lead_time_days,on_time_delivery_rate,defect_rate,capacity_units_per_month,supplier_status
SUP244,Timbergate Industries,South Asia,Bangladesh,Manufacturer,4,84.4,45,36,0.9422,0.0157,36711,Active
SUP245,Quinlan Holdings (2),North America,United States,Manufacturer,3,59.8,30,14,0.8772,0.0319,178868,Active
SUP246,Comet Industries,Europe,Italy,Distributor,3,57.7,45,19,0.856,0.0385,21050,Active
SUP247,Everline Fabrication,North America,United States,Manufacturer,4,79.9,45,6,0.9248,0.0232,89557,Active
SUP248,Jasperline Trading Co.,South Asia,India,Manufacturer,4,85.8,60,35,0.995,0.0102,122612,Active
SUP249,Harborlight Group (2),Southeast Asia,Indonesia,Manufacturer,2,31.9,30,23,0.7976,0.0575,27631,Probation
SUP250,Delta Components,South Asia,India,Distributor,4,72.6,30,51,0.9431,0.0219,23334,Active
SUP251,Amberton Global,North America,United States,Manufacturer,4,87.4,30,10,0.9669,0.0106,20365,Active
SUP252,Meridian Supply Co.,Europe,Italy,Distributor,2,31.6,30,20,0.8104,0.0599,22155,Inactive
SUP253,Vantage Industries (3),South Asia,India,Manufacturer,5,86.5,30,58,0.9394,0.0139,79410,Active
SUP254,Highmoor Corporation (3),Southeast Asia,Vietnam,Contract Packager,2,37.6,45,48,0.7456,0.0536,38780,Inactive
SUP255,Harborlight Corporation,Southeast Asia,Vietnam,Distributor,1,15.2,30,21,0.7491,0.0628,38971,Probation
SUP256,Ashgrove Group (4),North America,Canada,Manufacturer,3,50.4,15,16,0.8784,0.0404,8152,Active
SUP257,Driftline Global (2),Europe,Germany,Manufacturer,3,45.4,30,15,0.8238,0.0408,9773,Probation
SUP258,Novagen Enterprises (2),East Asia,China,Manufacturer,3,61.3,45,43,0.8665,0.0389,349746,Active
SUP259,Vaultis Holdings,East Asia,China,Manufacturer,5,94.5,60,22,0.9544,0.0059,24234,Active
SUP260,Rockford Group (2),North America,United States,Manufacturer,5,96.9,45,8,0.995,0.0052,12198,Active
SUP261,Ironbridge Group,East Asia,China,Wholesaler,5,87.9,45,55,0.9829,0.0147,154163,Active
SUP262,Everline Components,Europe,Germany,Distributor,3,50.5,45,15,0.8507,0.0396,41113,Probation
SUP263,Jasperline Manufacturing,Southeast Asia,Vietnam,Manufacturer,4,77.5,45,44,0.9515,0.0096,57808,Active
SUP264,Ashford Fabrication,East Asia,China,Distributor,4,89.7,30,27,0.9459,0.0171,25368,Active
SUP265,Larkspur Components,Latin America,Brazil,Manufacturer,5,100.0,45,20,0.9763,0.0038,20610,Active
SUP266,Amberton Inc. (2),East Asia,China,Contract Packager,4,64.6,45,46,0.8594,0.0304,24464,Active
SUP267,Marlowe Corporation (3),Southeast Asia,Vietnam,Manufacturer,4,72.2,30,22,0.8588,0.0234,6062,Active
SUP268,Novagen Fabrication (2),East Asia,China,Distributor,4,71.1,45,22,0.9148,0.0235,26873,Active
SUP269,Quinlan Components,East Asia,China,Wholesaler,4,62.1,30,30,0.9074,0.0228,41791,Active
SUP270,Silvertip Holdings,East Asia,China,Manufacturer,3,54.1,45,21,0.8881,0.0351,249704,Active
SUP271,Vantage Industries (4),East Asia,China,Manufacturer,4,65.8,15,35,0.9349,0.0263,32823,Active
SUP272,Everline Supply Co.,East Asia,South Korea,Manufacturer,2,39.0,45,48,0.8613,0.0418,2030,Inactive
SUP273,Foundry Row Manufacturing (2),East Asia,China,Wholesaler,3,58.8,60,57,0.8306,0.0371,26687,Probation
SUP274,Vaultis Manufacturing,North America,United States,Manufacturer,2,31.8,30,19,0.7821,0.0548,694141,Inactive
SUP275,Harborlight Enterprises,North America,Mexico,Distributor,4,91.5,30,4,0.9707,0.005,80525,Active
SUP276,Calderon Inc.,South Asia,India,Wholesaler,2,36.0,15,40,0.8587,0.0495,11702,Probation
SUP277,Timbergate Supply Co. (2),Southeast Asia,Vietnam,Wholesaler,3,49.0,15,53,0.8738,0.0413,58675,Probation
SUP278,Ashford Trading Co. (2),South Asia,Bangladesh,Manufacturer,4,96.2,90,32,0.9901,0.0063,12666,Active
SUP279,Kingsford Manufacturing (3),Europe,Italy,Manufacturer,4,78.9,30,14,0.9213,0.0172,6267,Active
SUP280,Pacific Rim Industries (3),Europe,Italy,Distributor,4,72.4,30,12,0.8863,0.0247,19918,Active
SUP281,Vaultis Group (2),East Asia,China,Manufacturer,4,44.6,30,35,0.8473,0.0424,33033,Inactive
SUP282,Kestrel Industries,East Asia,South Korea,Wholesaler,5,90.7,90,15,0.9451,0.0098,3453,Active
SUP283,Vaultis Ltd. (3),Southeast Asia,Vietnam,Manufacturer,4,75.9,30,26,0.9316,0.0203,7930,Active
SUP284,Calderon Group,Southeast Asia,Vietnam,Manufacturer,3,40.2,45,36,0.8371,0.0409,30088,Probation
SUP285,Wrenfield Inc.,North America,United States,Wholesaler,3,44.9,30,20,0.8651,0.0454,18594,Probation
SUP286,Vaultis Corporation (2),South Asia,India,Manufacturer,5,91.3,15,34,0.957,0.0078,46818,Active
SUP287,Graystone Group (2),East Asia,China,Manufacturer,3,48.3,45,58,0.8062,0.0391,7355,Probation
SUP288,Ashgrove Ltd. (3),Southeast Asia,Indonesia,Manufacturer,1,13.1,15,37,0.7486,0.0743,67591,Probation
SUP289,Elmsworth Manufacturing,South Asia,Bangladesh,Manufacturer,3,54.9,45,37,0.8445,0.0386,7621,Probation
SUP290,Fernway Holdings,East Asia,China,Wholesaler,3,44.0,30,33,0.8535,0.0334,196643,Probation
SUP291,Everline Enterprises,Europe,Germany,Manufacturer,4,54.1,45,24,0.8659,0.036,4133,Active
SUP292,Cedarwood Enterprises (3),East Asia,China,Manufacturer,4,73.4,45,29,0.9026,0.0274,8464,Active
SUP293,Silvertip Inc. (3),Latin America,Brazil,Manufacturer,4,70.4,45,24,0.9156,0.0253,48049,Active
SUP294,Palisade Enterprises (2),East Asia,China,Contract Packager,3,52.3,15,36,0.8343,0.0383,201565,Active
SUP295,NorthPoint Inc.,Europe,Italy,Manufacturer,4,93.3,45,18,0.9583,0.0052,42715,Active
SUP296,Everline Manufacturing (3),Europe,Poland,Contract Packager,2,33.8,90,20,0.7997,0.0523,56800,Inactive
SUP297,Larkspur Fabrication,Middle East,Turkey,Wholesaler,3,46.5,30,47,0.8135,0.0464,30338,Probation
SUP298,Brightfield Ltd.,Europe,Germany,Manufacturer,2,26.5,30,26,0.7458,0.0536,9133,Inactive
SUP299,Calderon Corporation,Europe,Germany,Wholesaler,4,72.1,60,10,0.9279,0.0212,16922,Active
SUP300,Comet Supply Co.,North America,United States,Distributor,5,86.5,30,16,0.9805,0.014,7378,Active
